Fund,Department,Division,Account,Amount,Annotation
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Services - Copying and Dupl,0.0, 
General Fund,Non-Departmental Department,Inter-Extra Goverment Services,Rents - Holiday Inn Airport,-52864.63, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Cellular Usage,-33.10000000000002, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Long Distance,300.0, 
General Fund,Information Technology Dept.,GIS Appl Services Division,Licenses Taxes & Fees,-1912.0, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Electricity,5839.109999999986, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Training,7275.139999999999, 
General Fund,Finance Department,Accounting Division,Materials,35.0, 
General Fund,Finance Department,Finance Administration,Maint & Repair - Equipment,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Water,0.0, 
General Fund,Finance Department,Finance Administration,Maintenance and Repairs,1003.0, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Natural Gas,22648.15, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rental/Lease,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fines & Fees Non Resid Entry,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Contracted Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Professional Services,0.0, 
General Fund,Human Resources Department,Organizational Development,Training,244.96000000000004, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Heating Oil,256.22, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Water,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Planning & Development Div,Dues & Subscriptions,625.74, 
General Fund,Parks Rec & Cultural Arts Dept,Planning & Development Div,Training,-922.54, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Licenses Taxes & Fees,175.0, 
General Fund,Administration Services Dept,Fleet Management Division,Oper Transfers Grant Fund,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Mileage Reimbursement,696.02, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Bank Fees,5607.07, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Transfer to General Fund,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Planning & Development Div,Maint & Repair - Equipment,-46.05, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Compensation - Stand By Pay,3638.29, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Fleet Maintenance Charges,43708.09999999998, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Fleet Fuel Charges,20028.640000000014, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Water and Sewer,500.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Other Fleet Charges,-19724.86, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Compensation - Overtime,1010.4900000000016, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Compensation - Temp/Seasonal,11644.970000000001, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Compensation - Part Time,6668.009999999998, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Compensation - Full Time Reg,30671.420000000042, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Restrictd Intergv Otr Loc Part,0.0, 
General Fund,Police Department,Patrol Division,Phone Allowance,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Overages & Shortages,-19.0, 
General Fund,Police Department,Patrol Division,Other Fringe Benefits,-6370.23, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Sponsorships,0.0, 
General Fund,Police Department,Patrol Division,Group Insurance Expense,-40452.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Compensation - Full Time Reg,19972.95000000001, 
General Fund,Public Works Department,Streets & Sidewalks Division,Compensation - Overtime,2950.67, 
General Fund,Public Works Department,Streets & Sidewalks Division,Compensation - Temp/Seasonal,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Compensation - Stand By Pay,3.9200000000000017, 
General Fund,Police Department,Criminal Investigations Div,Maint & Repair - Equipment,2614.46, 
General Fund,Administration Services Dept,City Hall Operations,Services - Janitorial,-4830.360000000001, 
General Fund,Finance Department,Risk Management Division,Employer - 401(K),3137.76, 
General Fund,Administration Services Dept,Building Maintenance,Buildings,-44722.07, 
General Fund,Finance Department,Risk Management Division,Employer - LGERS,3358.5699999999997, 
General Fund,Administration Services Dept,City Hall Operations,Contracted Services,25333.2, 
General Fund,Police Department,Patrol Division,Employer - Police 401(K),2860.460000000021, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Motor Pool Charges,0.0, 
General Fund,Administration Services Dept,City Clerk Division,Maintenance and Repairs,0.0, 
General Fund,Police Department,Patrol Division,FICA Tax Expense,-23725.550000000047, 
General Fund,Police Department,Patrol Division,Employer - LGERS,-54317.06999999995, 
General Fund,Police Department,Patrol Division,Employer - 401(K),17384.510000000002, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Rents - Vendor & Booths,30375.0, 
General Fund,Information Technology Dept.,Technical Services Division,Radios-Outside Agencies,2478.84, 
General Fund,Planning & Development Dept,Community Development Division,Green Opportunities,25000.0, 
General Fund,Finance Department,Risk Management Division,Vehicle Allowance,794.5799999999999, 
General Fund,Planning & Development Dept,Community Development Division,Sports Commission,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Governor West Residence,-5000.0, 
General Fund,Police Department,Police Support Division,Fines & Fees Animal Control,-1560.0, 
General Fund,Police Department,Police Support Division,Fines & Fees Animal Control Vi,2269.75, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Licenses Taxes & Fees,210.0, 
General Fund,Planning & Development Dept,Community Development Division,Child Abuse Prevent Srvcs,1250.0, 
General Fund,Finance Department,Finance Administration,Telephone,192.0, 
General Fund,Planning & Development Dept,Community Development Division,Center for Diversity Education,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Fleet Maintenance Charges,-25959.550000000003, 
General Fund,Finance Department,Finance Administration,Long Distance,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Hall Fletcher PTO,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Fleet Fuel Charges,4382.9000000000015, 
General Fund,Planning & Development Dept,Community Development Division,Design Center,2000.0, 
General Fund,Finance Department,Risk Management Division,Telephone,540.0, 
General Fund,Planning & Development Dept,Community Development Division,Youthful Hand,8720.0, 
General Fund,Finance Department,Risk Management Division,Long Distance,300.0, 
General Fund,Planning & Development Dept,Community Development Division,Meet The Geeks,0.0, 
General Fund,Finance Department,Risk Management Division,Radio Charges,0.0, 
General Fund,Planning & Development Dept,Community Development Division,River Sculpture Festival,0.0, 
General Fund,Finance Department,Risk Management Division,Cellular Usage,-2201.51, 
General Fund,Planning & Development Dept,Community Development Division,Education Channel,0.0, 
General Fund,Finance Department,Risk Management Division,FICA Tax Expense,4410.15, 
General Fund,Finance Department,Finance Administration,Cellular Usage,101.25, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Concessions,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Motor Pool Charges,0.0, 
General Fund,Finance Department,Finance Administration,Pager Service,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Vending Sales,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Concessions - Food & Bev,415.0, 
General Fund,Non-Departmental Department,Non-Divisional,Principal Payments - COPS 97A,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Principal Payments - COPS 97B,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Principal Payments - COPS 97C,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Principal Payments,921792.6200000001, 
General Fund,Transportation Department,Traffic Engineering Division,Supplies - Other,151.91999999999996, 
General Fund,Transportation Department,Traffic Engineering Division,Supplies - Safety Equipment,271.69, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Water and Sewer,15640.290000000008, 
General Fund,Public Works Department,Sanitation Division,Training,-543.5500000000002, 
General Fund,Public Works Department,Sanitation Division,Dues & Subscriptions,1885.0, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Sewer,-1201.25, 
General Fund,Transportation Department,Traffic Engineering Division,Maint & Repair - Equipment,750.0, 
General Fund,Economic Development Departmen,Economic Development Division,Mileage Reimbursement,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Main.&Repairs-Wayfinding Signs,3000.0, 
General Fund,Economic Development Departmen,Economic Development Division,Licenses Taxes & Fees,10.0, 
General Fund,Non-Departmental Department,Employee Health Contributions,Transfer to Insurance Fund,0.0, 
General Fund,Police Department,Police Support Division,Fines & Fees False Alarms,27491.5, 
General Fund,Public Works Department,Engineering Services Division,Licenses Taxes & Fees,0.0, 
General Fund,Police Department,Patrol Division,Fines & Fees Animal Control Vi,7040.0, 
General Fund,Planning & Development Dept,Planning Services Division,FICA Tax Expense,-18313.490000000005, 
General Fund,Planning & Development Dept,Planning Services Division,Employer - LGERS,-12649.789999999994, 
General Fund,Planning & Development Dept,Planning Services Division,Employer - 401(K),-9356.379999999997, 
General Fund,Transportation Department,Traffic Engineering Division,Supplies - Uniforms,589.85, 
General Fund,Finance Department,Finance Administration,Current Year Prop Taxes DMV,-28533.87000000011, 
General Fund,Finance Department,Finance Administration,Current Year Prop Taxes Ad Val,-631876.2700000033, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Supplies - Other,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Supplies - Other,719.8900000000001, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rents - Parks Shelters,-10711.25, 
General Fund,Public Works Department,Engineering Services Division,Supplies - Uniforms,-1247.13, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rents - Rental Income,1560.0, 
General Fund,Public Works Department,Engineering Services Division,Services - Postage,23.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Full Time Reg,-30507.53, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Motor Pool Charges,0.0, 
General Fund,Public Works Department,Engineering Services Division,Supplies - Books/Audio Visual,0.0, 
General Fund,Public Works Department,Engineering Services Division,Supplies - Safety Equipment,514.11, 
General Fund,Public Works Department,Engineering Services Division,Supplies - Other,-683.6899999999996, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Cellular Usage,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Long Distance,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Telephone,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fleet Maintenance Charges,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Services - Postage,26756.510000000002, 
General Fund,Information Technology Dept.,Technical Services Division,Training,-428.8199999999997, 
Stormwater Fund,Public Works Department,CAFR Preparation,Other Financing Uses GASB54,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Supplies - Uniforms,52.0, 
General Fund,Information Technology Dept.,Technical Services Division,Amortization of Debt Iss Costs,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Wrist Band Sales,1805.3700000000026, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Supplies - Safety Equipment,512.1, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Supplies - Books/Audio Visual,-165.75, 
General Fund,Information Technology Dept.,Information Services,Mach & Equipment,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rents - Rental Income,475.0, 
General Fund,Police Department,Police Support Division,Dues & Subscriptions,121.01999999999998, 
General Fund,Information Technology Dept.,Technical Services Division,Debt Issuance Cost,-4006.52, 
General Fund,Human Resources Department,Human Resources Administration,Dues & Subscriptions,-3893.58, 
General Fund,Human Resources Department,Human Resources Administration,Training,15157.24, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Contracted Services,4471.5599999999995, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Professional Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rental/Lease - Computers,0.0, 
General Fund,Information Technology Dept.,Information Services,Supplies - Other,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rental/Lease,-65.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Services - Advertising,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Transfer to Civic Center Fund,270000.0, 
General Fund,Non-Departmental Department,Non-Divisional,Transfer to Civic Center Cap,-170000.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Services - Copying and Dupl,634.5699999999999, 
Stormwater Fund,Public Works Department,CAFR Preparation,Amortization of Prem/Discount,0.0, 
General Fund,Police Department,Police Administration Division,Compensation - Stand By Pay,2754.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Training,141.04000000000087, 
General Fund,Police Department,Police Administration Division,Compensation - Temp/Seasonal,-39.31, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Dues & Subscriptions,-1038.8900000000003, 
General Fund,Police Department,Police Administration Division,Compensation - Overtime,17422.9, 
General Fund,Public Works Department,Sanitation Division,Materials,-427.17, 
General Fund,Police Department,Criminal Investigations Div,Other Miscellaneous Revenue,-25000.0, 
General Fund,Police Department,Police Administration Division,Compensation - Full Time Reg,116883.96999999997, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Damage Fees,0.0, 
General Fund,Finance Department,Risk Management Division,Group Insurance Expense,-7410.0, 
General Fund,Public Works Department,Engineering Services Division,Compensation - Full Time Reg,-21305.48999999999, 
General Fund,Public Works Department,Engineering Services Division,Compensation - Overtime,-2471.1399999999994, 
General Fund,Public Works Department,Engineering Services Division,Compensation - Temp/Seasonal,0.0, 
General Fund,Finance Department,Accounting Division,Maintenance and Repairs,400.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,-681.1000000000004, 
General Fund,Police Department,Police Administration Division,Quality of Serv Award,1056.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Overtime,-309.31, 
General Fund,Public Works Department,Engineering Services Division,Compensation - Stand By Pay,343.32, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Temp/Seasonal,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Part Time,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Cellular Usage,674.4099999999999, 
General Fund,Public Works Department,Streets & Sidewalks Division,Radio Charges,-1926.3199999999997, 
General Fund,Public Works Department,Streets & Sidewalks Division,Bldg Permits & Insp Water,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Bldg Permits & Insp Other,-48711.369999999995, 
General Fund,Administration Services Dept,City Hall Operations,Telephone,-157.24, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Purchases for Resale,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Bldg Permits & Insp MSD,9695.2, 
General Fund,Public Works Department,Streets & Sidewalks Division,Telephone,-96.0, 
General Fund,Police Department,Patrol Division,Transfer to Grant Fund,7735.0, 
General Fund,Administration Services Dept,City Hall Operations,Cellular Usage,-874.2700000000004, 
General Fund,Information Technology Dept.,GIS Appl Services Division,Compensation - Full Time Reg,35953.67999999999, 
General Fund,Economic Development Departmen,Economic Development Division,Sale of Capital Asset  -  Land,0.0, 
General Fund,Information Technology Dept.,GIS Appl Services Division,Compensation - Temp/Seasonal,14500.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,99.94999999999999, 
General Fund,Information Technology Dept.,GIS Appl Services Division,Compensation - Part Time,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Professional Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,402.39999999999964, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease,80.0, 
General Fund,Police Department,Police Administration Division,Maint & Repair - Equipment,-55.0, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Licenses Taxes & Fees,171.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Bldg Permits & Insp Driveways,10539.8, 
General Fund,Public Works Department,Streets & Sidewalks Division,Bldg Permits & Insp Soil Erosn,-3137.5, 
General Fund,Economic Development Departmen,Economic Development Division,Maintenance and Repairs,73.39999999999998, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Dues & Subscriptions,200.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Training,25.899999999999977, 
General Fund,Transportation Department,Transportation Planning Div,Training,1664.55, 
General Fund,Transportation Department,Transportation Planning Div,Dues & Subscriptions,150.0, 
General Fund,Public Works Department,Public Works Administration,Materials,821.53, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Tipping Fees,1328.6400000000003, 
General Fund,Non-Departmental Department,Non-Divisional,Proceeds of Debt - Refund Prem,1097329.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Group Insurance Expense,6400.0, 
General Fund,Non-Departmental Department,Non-Divisional,Proceeds of Debt - refunding,9501475.12, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Bldg Permits & Insp Soil Erosn,11470.600000000006, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Bldg Permits & Insp Stormwater,-7530.0, 
General Fund,Public Works Department,Public Works Administration,Maintenance and Repairs,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Refunds,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Bldg Permits & Insp Floodplain,6575.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Employer - 401(K),268.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Employer - LGERS,360.0, 
General Fund,Planning & Development Dept,Planning Services Division,Oper Transfers Grant Fund,2348.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,FICA Tax Expense,3282.62, 
General Fund,Information Technology Dept.,GIS Appl Services Division,Bldg Permits & Insp Technology,-16100.0, 
General Fund,Planning & Development Dept,Planning Services Division,OPEB Pension Contributions,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Planning & Development Div,Supplies - Other,566.79, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Group Insurance Expense,0.0, 
General Fund,Administration Services Dept,Community Relations,Fleet Maintenance Charges,0.0, 
General Fund,Police Department,Patrol Division,Maint & Repair - Equipment,3177.1499999999996, 
General Fund,Information Technology Dept.,Technical Services Division,Licenses Taxes & Fees,500.0, 
General Fund,Planning & Development Dept,Planning Services Division,Workers Compensation,155.0, 
General Fund,Planning & Development Dept,Planning Services Division,Unemployment,0.0, 
General Fund,Planning & Development Dept,Planning Services Division,Vehicle Allowance,-18.579999999999927, 
General Fund,Planning & Development Dept,Planning Services Division,Group Insurance Expense,-87877.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Private Donations,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Contra Fleet Charges,0.0, 
General Fund,Planning & Development Dept,Planning Services Division,Phone Allowance,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Full Time Reg,-2112.25, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Part Time,-9842.82, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Temp/Seasonal,-11476.529999999999, 
General Fund,Administration Services Dept,Building Maintenance,Dues & Subscriptions,80.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Overtime,-152.51, 
General Fund,Administration Services Dept,Building Maintenance,Training,-805.4099999999999, 
General Fund,Information Technology Dept.,IT Administration Division,Admission Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fines & Fees Non Resid Entry,-100.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Contra Fleet Charges,0.0, 
General Fund,Finance Department,Finance Administration,Loc Opt Tx 1/2 Ct Hold Hrmls,46271.71999999997, 
General Fund,Economic Development Departmen,Economic Development Division,Services - Copying and Dupl,466.81, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Commissions,0.0, 
General Fund,Economic Development Departmen,Economic Development Division,Services - Advertising,3387.0, 
General Fund,Non-Departmental Department,Non-Divisional,Payment to Defease Debt,-1.050604382E7, 
General Fund,Finance Department,Purchasing Operations Division,Maint & Repair - Equipment,100.0, 
General Fund,Economic Development Departmen,Economic Development Division,Services - Janitorial,0.0, 
General Fund,Economic Development Departmen,Economic Development Division,Services - Outside Printing,706.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Overages & Shortages,-187.76, 
General Fund,Fire & Rescue Department,Emergency Response Division,FICA Tax Expense,16694.429999999993, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Purchases for Resale,0.0, 
General Fund,Fire & Rescue Department,Emergency Response Division,Employer - 401(A),5227.7699999999895, 
General Fund,Fire & Rescue Department,Emergency Response Division,Employer - LGERS,42215.439999999944, 
General Fund,Fire & Rescue Department,Emergency Response Division,Employer - 401(K),41041.080000000016, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,296.7399999999998, 
